date,bus_rides,rail_rides,divvy_rides,TEMP,PRCP,HMDT,WND_SPD,ATM_PRESS
2024-12-25,145321,73871,1686,2.5508333333333333,0.09583333333333333,81.03208333333333,3.2762499999999997,100.33625
2024-12-26,363971,190769,4045,3.6595833333333334,0.5075,97.13666666666667,4.377916666666667,99.99583333333334
2024-12-27,392636,207819,3513,5.430416666666667,5.291250000000001,96.9375,6.548333333333333,98.9875
2024-12-28,346462,189493,5732,6.634583333333333,0.06,88.73791666666666,5.885833333333333,99.10374999999999
2024-12-29,229235,135827,1903,4.4070833333333335,15.225416666666668,93.62916666666666,6.538333333333334,98.47083333333335
2024-12-30,444589,241683,6413,2.3975,0.2704166666666667,88.00583333333333,4.175,98.61874999999999
2024-12-31,383342,238273,3116,3.1300000000000003,8.0625,88.8,8.809166666666666,98.52541666666667
2025-01-01,222363,158761,3562,-0.7258333333333334,0.10666666666666667,73.60333333333334,8.519166666666667,99.6675
2025-01-02,420233,231807,4749,-1.30375,0.09291666666666666,70.89916666666666,6.2725,100.12708333333335
2025-01-03,429176,235025,4200,-3.98,0.010833333333333334,74.57958333333333,9.591666666666667,100.21791666666667
2025-01-04,312215,175024,3198,-6.0945833333333335,0.0004166666666666667,76.16916666666667,7.7250000000000005,100.45125
2025-01-05,238295,127194,2933,-3.939166666666667,0.72375,76.13000000000001,6.1375,100.02749999999999
2025-01-06,476792,263520,4080,-0.5204166666666666,0.9033333333333333,79.20583333333333,9.64125,99.93083333333334
2025-01-07,536559,307614,5319,-2.9466666666666668,0.022500000000000003,72.56125,4.9816666666666665,100.72791666666666
2025-01-08,541599,309128,5661,-3.8800000000000003,0.04583333333333334,69.90375,5.17875,100.39625000000001
2025-01-09,547693,305662,5833,-3.501666666666667,0.002916666666666667,69.92666666666666,5.891249999999999,100.05874999999999
2025-01-10,491837,258602,2720,-2.06875,3.435416666666667,90.78083333333332,6.290833333333333,98.98208333333334
2025-01-11,339583,187472,3830,-1.1066666666666667,0.02875,75.6275,5.817916666666666,98.75124999999998
2025-01-12,245870,136189,2562,-0.5216666666666666,0.7716666666666666,82.37791666666666,9.649583333333334,98.77625
2025-01-13,517511,283822,4531,-7.0075,0.0033333333333333335,82.03416666666666,9.285833333333333,99.78249999999998
2025-01-14,533392,316359,4060,-7.474166666666666,0.3775,85.34416666666668,7.56,100.38541666666667
2025-01-15,545654,314826,4654,-7.648333333333333,0.061250000000000006,87.64208333333333,7.357500000000001,100.46625
2025-01-16,577563,327279,6329,-1.1066666666666667,0.115,85.36708333333333,7.676666666666667,99.09458333333333
2025-01-17,563488,290569,6688,1.7591666666666665,0.0016666666666666668,88.95791666666666,9.147916666666667,98.46375
2025-01-18,351783,195161,4603,-1.5566666666666666,0.0,68.83666666666666,9.440416666666666,99.10916666666667
2025-01-19,218301,121517,2228,-11.077916666666667,0.059166666666666666,88.57541666666667,9.195833333333333,100.17041666666667
2025-01-20,254426,136632,1648,-12.89875,0.019583333333333335,91.91333333333334,8.192916666666667,100.90833333333335
2025-01-21,292746,173515,1309,-15.47125,0.011666666666666665,98.74000000000001,7.666250000000001,101.10083333333334
2025-01-22,499263,288673,3243,-8.280416666666666,0.6283333333333333,87.18624999999999,9.959583333333333,99.96
2025-01-23,557838,315644,4285,-6.100416666666667,0.2683333333333333,82.33375,7.23875,100.03458333333333
2025-01-24,513852,262284,4085,-7.858333333333333,0.0,76.03833333333334,6.354166666666667,100.15625
2025-01-25,352390,189632,4568,-1.12375,0.0,77.87375,8.502083333333333,99.7675
2025-01-26,262058,139281,3662,-4.33375,0.0,71.62791666666666,6.049166666666667,100.38958333333333
2025-01-27,555099,287202,6142,-1.2304166666666665,0.0,73.64833333333333,10.385,99.04916666666666
2025-01-28,598090,330430,7964,1.7516666666666667,0.0,76.5725,8.789166666666667,98.35666666666667
